"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","cell_type"
"Cellular Processes","Cellular community - eukaryotes","hsa04520","Adherens junction","35/959","92/8292",0.380434782608696,3.28943192637258,7.98521549722107,3.88746776304295e-11,1.30230170061939e-08,8.96163621164639e-09,"54922/1003/4233/57493/5787/5797/7048/83439/87/6615/51176/2260/3643/7082/9411/5819/51701/9475/64750/7525/1500/1495/2241/57154/6934/5595/1499/4301/10163/1387/10580/9855/4088/5879/5908",35,"ACKR1+ endothelial"
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","53/959","200/8292",0.265,2.29132429614181,6.68489056062736,3.05023087446707e-09,5.10913671473234e-07,3.51579242899099e-07,"7450/3691/8515/4233/3680/2324/7148/3912/3655/2321/7424/2012/3791/87/8516/3909/3678/3673/1282/1284/3911/9564/29780/6464/3910/5829/1793/3913/857/7410/10000/5747/858/8503/9475/83660/2013/3915/2317/1398/23396/5595/6654/1499/2932/54776/55742/3685/824/5879/2889/5908/3688",53,"ACKR1+ endothelial"
"Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","42/959","153/8292",0.274509803921569,2.3735508802061,6.20121603533628,4.56332608162347e-08,5.09571412447954e-06,3.50655583114224e-06,"7450/7412/3691/8515/4233/55679/3680/2324/7148/3912/2200/3655/2321/7424/3383/3791/87/8516/3909/3678/3673/1282/1284/3911/29780/3910/10979/5829/3913/10000/5747/8503/83660/3915/2317/3987/1499/2932/55742/3685/5879/3688",42,"ACKR1+ endothelial"
"Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","51/959","210/8292",0.242857142857143,2.09986593177417,5.83797045822759,1.34587630635025e-07,9.28872427185496e-06,6.39192652171637e-06,"7010/196883/11069/10411/4233/5332/64411/2324/5600/2321/7424/9771/3791/2776/9732/23236/9223/22808/3397/9564/6300/2260/3643/7074/7410/9863/25780/23683/10000/91860/5899/8503/83660/25865/1500/1398/5595/5335/1499/5900/2149/260425/4301/2771/9693/9855/5879/1435/2889/5908/3688",51,"ACKR1+ endothelial"
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","31/959","100/8292",0.31,2.68041710114703,6.11355803755071,1.38637675699328e-07,9.28872427185496e-06,6.39192652171637e-06,"6401/7412/7056/4846/5332/5600/7424/7048/3383/5054/23236/1282/1284/2308/6300/6347/1906/10000/5336/8503/3717/5581/5595/4772/5335/6776/6774/4313/6777/4088/5879",31,"ACKR1+ endothelial"
"Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","33/959","114/8292",0.289473684210526,2.50293617254816,5.84307321782688,3.33372363112024e-07,1.77014242981775e-05,1.21810272468213e-05,"11069/7412/58494/10411/5175/1003/5600/90952/3383/87/24146/9564/7122/5829/6300/7410/5747/83700/5336/8503/9475/1500/4478/1495/2185/5335/1499/4301/2771/4313/5879/5908/3688",33,"ACKR1+ endothelial"
"Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","37/959","136/8292",0.272058823529412,2.35235846163283,5.75035407570268,3.69880507723112e-07,1.77014242981775e-05,1.21810272468213e-05,"5600/64283/7099/2776/3678/6196/9564/5829/9844/1793/6300/6347/7410/10000/5747/3551/8935/8503/9475/4775/6197/1398/23396/5595/4772/2185/5335/5586/29110/2932/147179/23365/4773/10163/10095/5879/3688",37,"ACKR1+ endothelial"
"Environmental Information Processing","Signal transduction","hsa04070","Phosphatidylinositol signaling system","29/959","96/8292",0.302083333333333,2.61196558915537,5.74463350588527,6.44167551235786e-07,2.69745162079985e-05,1.85621965421891e-05,"5332/23236/5286/5287/3628/160851/91860/5336/8503/3710/4534/8526/8396/23396/8867/80271/3632/5335/8898/253430/22876/5289/8871/23262/5298/5305/3635/3708/5297",29,"ACKR1+ endothelial"
"Organismal Systems","Endocrine system","hsa04935","Growth hormone synthesis, secretion and action","33/959","121/8292",0.272727272727273,2.35813821215281,5.44215575449712,1.48345937779872e-06,5.52176546180633e-05,3.79973805541426e-05,"196883/5332/5600/2776/23236/9021/9564/6464/775/6300/10000/5747/2767/5336/8503/3710/3717/1398/5595/6654/5335/2932/1386/4214/6776/6774/2771/2690/1387/3708/6777/8835/5566",33,"ACKR1+ endothelial"
"Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","52/959","234/8292",0.222222222222222,1.92144595064303,5.17054213638958,1.93312748502649e-06,6.47597707483875e-05,4.45636757074528e-05,"7010/4233/10156/51365/2324/2791/59345/2321/7424/27/5924/9771/2549/2114/3791/57186/9462/22808/6464/8844/8605/5338/2260/3643/7074/55970/25780/10000/91860/3551/5899/5336/23179/8503/11145/5863/5595/6654/5921/5335/29110/4763/5900/55770/4301/25/57148/5879/1435/8036/5908/5566",52,"ACKR1+ endothelial"
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","50/959","223/8292",0.224215246636771,1.93867864975194,5.13844168756869,2.31795491488052e-06,6.77019637145312e-05,4.65883112442493e-05,"196883/5332/5600/2791/59345/3554/2776/23236/9564/5829/6300/7132/6347/55970/10000/5747/91860/3551/2767/8503/9475/5534/3710/6667/5925/4775/1398/5595/6376/6654/4772/2185/29110/1499/3133/2932/115004/7249/1386/23365/4773/6774/2771/3685/3708/1026/6891/5879/3716/5566",50,"ACKR1+ endothelial"
"Organismal Systems","Development and regeneration","hsa04360","Axon guidance","43/959","181/8292",0.237569060773481,2.05414249419573,5.18529329307342,2.43325448554818e-06,6.77019637145312e-05,4.65883112442493e-05,"57556/4233/659/10501/54434/2050/22885/27289/6091/91653/6405/8829/2043/5362/23380/80031/1808/5998/3983/2242/57522/5747/5336/8503/9475/5534/1948/4775/3985/54910/5595/5921/5335/2932/23365/4773/2771/25/6259/85464/59277/5879/3688",43,"ACKR1+ endothelial"
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","39/959","158/8292",0.246835443037975,2.13426433125223,5.20550242724889,2.63692520807643e-06,6.77019637145312e-05,4.65883112442493e-05,"5175/8578/23166/5600/8877/286410/5627/9564/9844/2621/23250/5087/1793/6300/140885/196527/5747/1901/3717/4775/6256/1398/5595/6868/6376/4772/1374/3091/5467/102/4773/23355/3685/5879/23339/55754/3988/7879/1788",39,"ACKR1+ endothelial"
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","46/959","200/8292",0.23,1.98869655891554,5.11825597471247,2.82933579702519e-06,6.77019637145312e-05,4.65883112442493e-05,"4233/3339/5600/7099/8322/2549/3791/8323/3678/22808/3673/7482/5962/5829/6300/2260/857/7074/7410/10000/5747/858/5336/8503/9475/7078/3710/4478/2017/5595/6654/3091/5335/10818/867/1499/23365/6774/54776/3685/4313/3708/1026/5879/3688/5566",46,"ACKR1+ endothelial"
"Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","50/959","226/8292",0.221238938053097,1.9129439774101,5.03200608222151,3.48612307355368e-06,7.33412581403504e-05,5.04689254759992e-05,"5332/5600/7099/87/3554/23236/3678/10392/9564/5829/9844/2308/1793/6300/7132/10000/5747/3551/4671/5336/8503/9475/3710/5581/25851/83660/837/57521/9181/1398/54874/9267/2017/5595/3098/5335/29110/2932/115004/5289/10163/92610/22863/3708/9266/10095/824/7323/5879/3688",50,"ACKR1+ endothelial"
"Environmental Information Processing","Signaling molecules and interaction","hsa04517","IgSF CAM signaling","61/959","296/8292",0.206081081081081,1.78188146436322,4.95361556328039,3.63943921257734e-06,7.33412581403504e-05,5.04689254759992e-05,"58494/54538/23136/5600/84617/57513/8828/90952/3383/6091/3791/87/8829/9223/3678/5362/23380/9564/6711/5962/5829/8777/2308/7204/6300/2260/7082/351/7410/9863/5376/57522/9788/10000/5819/5747/28964/83700/9414/5336/8503/5817/23085/6709/4478/2037/5595/5921/5335/1499/2932/4627/4301/25/3635/9693/10580/10095/5879/5908/3688",61,"ACKR1+ endothelial"
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","35/959","137/8292",0.255474452554745,2.20896158559327,5.15979825192239,3.72179518921181e-06,7.33412581403504e-05,5.04689254759992e-05,"6401/7412/5175/5327/1003/7056/4846/659/5600/3383/3791/3554/4205/4208/6300/857/7132/6347/1906/445/10000/5747/91860/3551/1728/4258/858/8503/9181/5607/1499/10365/3685/4313/5879",35,"ACKR1+ endothelial"
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","70/959","357/8292",0.196078431372549,1.6953934858615,4.85694492959087,4.52292711224154e-06,8.41766990333843e-05,5.79252068760759e-05,"7450/7010/3691/8515/3563/4233/4846/3680/2324/29941/7148/2791/3912/59345/3655/2321/7424/7099/3791/8516/9180/3909/9223/3678/3673/1282/1284/10161/3911/3910/3913/2260/3643/55970/9863/10000/5747/3551/1017/5525/23239/8503/3717/5519/3915/57521/6256/5595/6654/11140/5586/2932/3566/3455/7249/1386/5529/2149/5520/2690/3685/5516/23678/1026/55012/92579/5879/1435/3716/3688",70,"ACKR1+ endothelial"
"Metabolism","Carbohydrate metabolism","hsa00562","Inositol phosphate metabolism","23/959","78/8292",0.294871794871795,2.54961097296864,4.97238277987085,1.43360023525102e-05,0.000252766357267943,0.000173938200288074,"5332/23236/5286/5287/3628/5336/4534/8396/23396/8867/80271/3632/5335/8898/253430/22876/5289/8871/23262/5298/5305/3635/5297",23,"ACKR1+ endothelial"
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","43/959","194/8292",0.221649484536082,1.91649377035787,4.67103815397684,1.59622141015626e-05,0.000267367086201174,0.000183985520433801,"5600/2791/59345/83439/3383/1827/51176/6300/3572/7132/55970/10000/91860/3551/5336/8503/5534/3710/3717/5925/5610/4775/6773/6934/5595/4772/3091/5335/29110/1499/3133/2932/3455/5289/4773/6774/22863/2920/1387/3708/1026/5879/3716",43,"ACKR1+ endothelial"
"Genetic Information Processing","Folding, sorting and degradation","hsa04120","Ubiquitin mediated proteolysis","34/959","141/8292",0.24113475177305,2.08497326559137,4.69888769597041,1.95108221251699e-05,0.000300201553490836,0.000206580173494087,"4734/9021/5071/5371/868/8924/55120/996/64750/57154/4281/9320/867/26091/51366/10393/55294/7325/4214/9063/1643/64326/55284/11059/7327/55236/9690/57448/7323/11060/8452/7324/8451/10277",34,"ACKR1+ endothelial"
"Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","48/959","227/8292",0.211453744493392,1.8283362349731,4.57603482667955,1.97147288859654e-05,0.000300201553490836,0.000206580173494087,"624/3691/8515/3680/54434/3655/87/8516/3678/22808/730/3673/9564/5962/5829/2934/1793/2260/7074/7410/55970/10000/5747/28964/8503/9475/10787/1730/8396/3985/1398/23396/4478/5595/6654/23191/324/4627/23365/2149/54776/5305/10163/85464/3685/10095/5879/3688",48,"ACKR1+ endothelial"
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","63/959","329/8292",0.191489361702128,1.65571406385197,4.38880220392716,2.95051793583086e-05,0.00042974935152319,0.000295726969312109,"7450/3691/8515/3680/7148/3912/3655/83439/8322/8516/8323/3909/9223/3678/3673/1282/1284/3911/3910/7482/5829/4855/4851/2308/4599/3913/7132/10000/5747/1740/3551/1017/5525/8503/5519/3915/5925/5610/6773/6934/5595/6654/324/3280/29110/1499/3133/2932/3455/7249/5529/4242/1108/545/5520/3685/1387/5516/1026/55012/3716/3688/5566",63,"ACKR1+ endothelial"
"Human Diseases","Infectious disease: bacterial","hsa05100","Bacterial invasion of epithelial cells","22/959","77/8292",0.285714285714286,2.47043050796961,4.68768048313086,3.77116512431629e-05,0.000526391798602482,0.000362230334309328,"26052/4233/2549/3678/9564/6464/5829/9844/1793/857/5747/858/8503/1398/2017/1495/867/1499/10163/10095/5879/3688",22,"ACKR1+ endothelial"
"Environmental Information Processing","Signal transduction","hsa04072","Phospholipase D signaling pathway","34/959","146/8292",0.232876712328767,2.01357007156427,4.4681724042987,4.22800754527882e-05,0.000566553011067362,0.000389866801017289,"196883/11069/26052/10411/5332/8877/2549/23236/8613/22808/10161/6464/8605/5338/160851/3643/10000/5899/5336/8503/56895/8526/23396/9267/5595/6654/2185/5335/7249/5900/2149/10555/9266/55326",34,"ACKR1+ endothelial"
"Environmental Information Processing","Signaling molecules and interaction","hsa04519","Cadherin signaling","73/959","402/8292",0.181592039800995,1.57013680295083,4.23765424934403,4.5075910128304e-05,0.000580785765114686,0.000399660903566744,"27253/79633/1003/51294/4233/9620/2324/8642/5600/29964/4041/5099/83439/8463/8322/7004/3791/87/2697/25937/8323/9344/22808/1012/7482/10184/8777/4643/4040/51176/6300/5097/2260/7082/7003/166336/7410/10186/1822/5747/3551/55914/26524/9475/10787/6788/1500/51421/1495/4641/6934/51474/60485/5595/57551/2185/23191/324/23002/1499/154810/2932/102/4301/6259/1387/473/7431/10095/4642/5879/8036/10413",73,"ACKR1+ endothelial"
"Organismal Systems","Immune system","hsa04666","Fc gamma R-mediated phagosome formation","25/959","95/8292",0.263157894736842,2.27539652049833,4.52117670829583,5.25671191201182e-05,0.000652221663157022,0.000448818677867676,"8877/50807/8613/8853/2934/8605/5338/1793/7410/55616/10000/5336/8503/5581/3985/1398/23396/4651/5595/5335/4082/10163/3635/10095/5879",25,"ACKR1+ endothelial"
"Environmental Information Processing","Signal transduction","hsa04371","Apelin signaling pathway","32/959","138/8292",0.231884057971014,2.00498707893186,4.30513313464167,7.69555670464921e-05,0.000920718391449102,0.000633581548239916,"6263/187/196883/5327/4846/5332/2791/8877/59345/2776/5054/23236/22808/4205/4208/55970/6262/10000/91860/6546/3710/5581/5595/5289/1490/9759/10365/10014/2771/3708/4088/5566",32,"ACKR1+ endothelial"
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","45/959","221/8292",0.203619909502262,1.7606009276254,4.14439587326688,9.285204731278e-05,0.00107260123619935,0.000738097944156037,"196883/3600/7048/3383/2114/3554/8829/3601/958/7132/2648/4215/10000/3551/3127/1017/8061/8503/996/5534/83660/5925/4775/3123/5595/4772/5971/3133/3108/1386/10393/4214/4055/6776/4773/8295/545/1387/1026/6777/2224/64784/4088/3716/5566",45,"ACKR1+ endothelial"
