"cluster","top_genes"
"0","CXCR6, CD8A, TIGIT, KLRB1, DUSP4, SIT1, CXCR3, SH2D1A, CCL5, CD2"
"1","GNMT, PCGEM1, AC025580.2, TFF3, MESP1, RLN1, HIST1H2BC, AC092164.1, ARG2, SMS"
"2","SELL, CCR7, IL7R, P2RY8, TCF7, TRAT1, CD247, BACH2, SPN, SYTL3"
"3","FABP5, MAOB, KLK4, FAM3B, MDK, C19orf48, CRISPLD1, ALOX15B, CRABP2, CHMP4C"
"4","FHL5, PLN, NRIP2, MYOCD, MUSTN1, ACTG2, CSPG4, CDH6, HIGD1B, MYH11"
"5","VSIG4, TREM2, C1QA, C1QB, LILRB2, CSF2RA, MS4A4A, C1QC, MS4A6A, AIF1"
"6","LTF, KRT17, KRT23, MIR205HG, MMP7, KRT15, S100A14, BMP2, RNF39, CFTR"
"7","CCK, MSMB, CD177, LINC02469, CPLX3, SLC2A5, ACPP, NEFH, PDE11A, PCAT4"
"8","AC106771.1, MIR548XHG, LRRC7, RALYL, SCHLAP1, NTNG1, LRRTM4, AC040174.1, AC092691.1, AC138305.1"
"9","VWA5B1, ANKRD34B, KLK12, TMEM178A, F3, KCNG3, PCA3, AL117329.1, AC021148.2, AC093895.1"
"10","BTNL9, SPAAR, ESM1, KDR, AC008050.1, NOTCH4, PDGFD, ENPP2, AC074286.1, EXOC3L2"
"11","CXCL14, KCNIP1, OGN, SFRP2, LRRN4CL, PDGFRA, KIAA1755, HTRA3, HHIP, SFRP1"
"12","CADM3-AS1, PTPN5, TLL1, ACKR1, GPM6A, ZNF385D, RAB3C, MMRN1, SELE, PLCXD3"
"13","FCRLA, VPREB3, LINC02397, CD19, CD79A, NIBAN3, FCRL1, MS4A1, TNFRSF13C, BLK"
"14","CALB2, MS4A2, CPA3, SIGLEC6, LINC02752, HDC, GCSAML, AL157895.1, TPSB2, SLC8A3"
"15","CCL14, SOX18, SELE, GNG11, IL33, IFI27, ACKR1, ECSCR, AQP1, RAMP2"
"16","CHGA, ACTL6B, SCG3, DDC, UGT2B15, SLC24A2, CPLX2, RGS7, CHGB, UNC13A"
"17","INHBA-AS1, AL136987.1, SLC1A3, FPR3, IGSF6, AL390957.1, CLEC7A, TPSD1, MIR181A1HG, NCAPD3"
"18","IFIT2, COMP, IL1A, COL8A1, SPP1, DIO2, ABI3BP, CTHRC1, SLC16A10, KYNU"
"19","IGLV3-25, IGHV3-33, CDC20B, IGLVI-70, C20orf85, ROPN1L, CAPSL, ZMYND10, C1orf194, CFAP77"
"20","SAA1, TIMP4, AC108690.1, TRBV24-1, FOXJ1, UBD, SCGB3A1, LCN2, PIGR, TPPP3"
"21","AL078604.4, HS3ST2, LDAH, SERPINE1, ANGPTL4, APOE, CFB, FCGR2B, PDE11A, HMOX1"
"22","IGHGP, IGHG3, IGHG1, IGHA2, IGLC2, IGLC1, IGLC3, IGKC, IGLV3-1, AC012236.1"
"23","AURKB, HIST1H2AI, CRISP3, AOC1, HIST1H2AJ, CDK1, HIST1H3H, CCK, SDS, HIST1H1E"
"24","TENT5B, MUC4, AC007906.2, OLFM4, RHOV, PCP4, GABRP, LINC01285, SCGB1A1, PLAT"
"25","TGM4, S100P, AGBL1, GALNTL6, KCNC2, SERPINB11, HMGCS2, CCK, PCAT4, LDAH"
"26","KRT4, UPK1A, LCN2, S100P, APOD, CXCL17, KRT23, TPSAB1, KRT7, SFRP4"
