"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.60545314321252,0.974,0.245,0,"0","PTPRC"
0,3.09259267681714,0.824,0.106,0,"0","CD3E"
0,2.70741250900267,0.865,0.177,0,"0","CORO1A"
0,3.16301855108914,0.885,0.219,0,"0","IL32"
0,3.17787153059983,0.75,0.093,0,"0","CD96"
0,2.84932292186751,0.786,0.138,0,"0","IL2RG"
0,2.59583199056989,0.816,0.171,0,"0","RAC2"
0,2.3842128329959,0.902,0.259,0,"0","FYN"
0,3.42249958924074,0.71,0.068,0,"0","CD2"
0,2.41522520135521,0.809,0.174,0,"0","CD52"
0,3.17547912756559,0.714,0.084,0,"0","CD3D"
0,2.37632530301131,0.793,0.163,0,"0","CD69"
0,2.40194424418401,0.78,0.156,0,"0","FYB1"
0,2.73028465200861,0.738,0.124,0,"0","STAT4"
0,2.53556711572428,0.769,0.158,0,"0","SAMSN1"
0,2.539986547634,0.873,0.268,0,"0","CXCR4"
0,2.32172288434326,0.755,0.151,0,"0","LSP1"
0,2.56234296378162,0.886,0.288,0,"0","TNFAIP3"
0,2.76417202215866,0.723,0.126,0,"0","HCST"
0,3.145007745793,0.677,0.081,0,"0","LCK"
0,1.97893773960221,0.934,0.338,0,"0","SRGN"
0,1.72333452738596,0.781,0.185,0,"0","CD37"
0,2.92880392451736,0.695,0.106,0,"0","SKAP1"
0,3.28540066055973,0.658,0.073,0,"0","SH2D2A"
0,2.80602151002255,0.837,0.254,0,"0","DUSP2"
0,1.60713293726332,0.797,0.217,0,"0","LAPTM5"
0,2.39591505105651,0.707,0.141,0,"0","CD48"
0,2.65636758269871,0.707,0.147,0,"0","SPOCK2"
0,3.43420395404802,0.667,0.108,0,"0","CCL5"
0,2.61240305376279,0.693,0.136,0,"0","CYTIP"
0,3.13436365975489,0.639,0.084,0,"0","CST7"
0,2.89248879211278,0.624,0.075,0,"0","CD247"
0,2.05141874886667,0.766,0.224,0,"0","ARHGAP15"
0,2.68172599533355,0.679,0.141,0,"0","GNG2"
0,2.4830499931714,0.691,0.153,0,"0","RHOH"
0,3.0037184329936,0.629,0.092,0,"0","PCED1B-AS1"
0,2.95532369920221,0.62,0.088,0,"0","ACAP1"
0,2.35046278082597,0.665,0.137,0,"0","APBB1IP"
0,2.48030813607945,0.719,0.194,0,"0","LIMD2"
0,2.87012605929115,0.657,0.133,0,"0","TAGAP"
0,2.78835608774444,0.627,0.106,0,"0","IL7R"
0,1.79872869199953,0.826,0.307,0,"0","SLC2A3"
0,3.11534735911249,0.603,0.085,0,"0","PTPN22"
0,3.38107356949787,0.695,0.181,0,"0","TUBA4A"
0,1.54212996990907,0.87,0.356,0,"0","CYBA"
0,3.21539205279555,0.588,0.077,0,"0","CD7"
0,3.06687255292805,0.57,0.061,0,"0","CD3G"
0,1.89489943592161,0.908,0.401,0,"0","ARHGDIB"
0,2.21414343125897,0.711,0.207,0,"0","ARL4C"
0,1.98560978051336,0.643,0.139,0,"0","ITGB2"
0,2.02413582706636,0.663,0.16,0,"0","CD53"
0,2.82821586434511,0.64,0.137,0,"0","CLEC2D"
0,3.29736092620034,0.554,0.052,0,"0","ZAP70"
0,3.28751054357906,0.567,0.067,0,"0","ICOS"
0,1.60755647647208,0.859,0.362,0,"0","CRIP1"
0,3.27014001438378,0.55,0.063,0,"0","CD6"
0,2.15935807271164,0.782,0.297,0,"0","RGCC"
0,2.97534169013541,0.557,0.074,0,"0","TBC1D10C"
0,3.3980495047406,0.532,0.05,0,"0","IL2RB"
0,2.17245746709967,0.713,0.232,0,"0","WIPF1"
0,2.96540182121515,0.544,0.065,0,"0","BCL11B"
0,2.16817761667066,0.823,0.344,0,"0","STK17B"
0,1.73319206690534,0.766,0.288,0,"0","S100A4"
0,2.25889853788328,0.631,0.159,0,"0","TNFRSF1B"
0,2.49905814007075,0.741,0.269,0,"0","LEPROTL1"
0,1.58652462933793,0.798,0.327,0,"0","FXYD5"
0,2.47933684557843,0.633,0.163,0,"0","SYTL3"
0,2.73293532394355,0.616,0.148,0,"0","SEPTIN1"
0,2.21804791475589,0.834,0.369,0,"0","CREM"
0,2.48538969518043,0.581,0.117,0,"0","IKZF1"
0,2.86789802360003,0.56,0.097,0,"0","LTB"
0,2.60607683774605,0.606,0.143,0,"0","ITGA4"
0,3.07886781181191,0.543,0.084,0,"0","LIME1"
0,1.97481624694552,0.87,0.412,0,"0","NR4A2"
0,2.88155928644346,0.533,0.076,0,"0","LAT"
0,2.31873553702344,0.599,0.142,0,"0","GPSM3"
0,2.03228286193398,0.627,0.172,0,"0","RGS1"
0,2.72347060443713,0.56,0.106,0,"0","RUNX3"
0,3.40730836332218,0.518,0.066,0,"0","DOK2"
0,1.8933269407804,0.64,0.191,0,"0","HCLS1"
0,3.0646183526765,0.503,0.054,0,"0","GZMM"
0,2.3778015827555,0.664,0.217,0,"0","TENT5C"
0,2.81568259817903,0.525,0.083,0,"0","ARHGAP9"
0,2.21237872339031,0.633,0.197,0,"0","BIRC3"
0,2.06101278704284,0.608,0.172,0,"0","GMFG"
0,1.62394056073838,0.79,0.356,0,"0","LCP1"
0,2.37016390539039,0.643,0.209,0,"0","ADGRE5"
0,3.07714569404001,0.498,0.065,0,"0","TRBC2"
0,1.92058118529381,0.743,0.313,0,"0","TGFB1"
0,2.50162584817755,0.601,0.172,0,"0","ISG20"
0,1.71771680306155,0.664,0.239,0,"0","ETS1"
0,2.88462203474619,0.481,0.059,0,"0","ITK"
0,1.41927862943522,0.841,0.42,0,"0","IFITM1"
0,1.97357828338011,0.729,0.308,0,"0","STK4"
0,2.86532987133556,0.495,0.078,0,"0","SELPLG"
0,3.38251910172538,0.496,0.08,0,"0","APOBEC3G"
0,2.52220218809615,0.514,0.099,0,"0","CAMK4"
0,1.3637390794206,0.822,0.408,0,"0","CD44"
0,3.02244901396568,0.491,0.083,0,"0","SLA"
0,2.64006637607761,0.521,0.114,0,"0","PPP1R16B"
0,3.14805320084223,0.46,0.056,0,"0","GZMA"
0,2.17636708116227,0.693,0.29,0,"0","STK17A"
0,2.90046061034515,0.482,0.08,0,"0","RASAL3"
0,1.86303045631973,0.684,0.283,0,"0","HLA-F"
0,1.64728567198088,0.66,0.259,0,"0","PLAAT4"
0,2.0434007998535,0.756,0.355,0,"0","EVL"
0,1.92112781483515,0.636,0.237,0,"0","ANKRD44"
0,1.88737758947321,0.725,0.329,0,"0","ZNF331"
0,1.72436635068413,0.528,0.133,0,"0","LCP2"
0,3.19002758709477,0.44,0.045,0,"0","THEMIS"
0,2.04072794999714,0.661,0.267,0,"0","CNN2"
0,2.25580090162899,0.518,0.128,0,"0","FMNL1"
0,2.38954815026593,0.525,0.137,0,"0","RBM38"
0,3.11214876864996,0.434,0.05,0,"0","NKG7"
0,1.6367298624007,0.687,0.305,0,"0","PDE4B"
0,2.42139085971731,0.503,0.124,0,"0","RNF125"
0,2.19839061603363,0.626,0.25,0,"0","ARHGEF1"
0,2.40800038072041,0.475,0.102,0,"0","IL10RA"
0,2.12044986981257,0.472,0.099,0,"0","ALOX5AP"
0,2.96965873487634,0.421,0.049,0,"0","CD5"
0,2.01393720119954,0.622,0.254,0,"0","SLC38A1"
0,3.53244431927606,0.479,0.115,0,"0","DUSP4"
0,2.72612138106882,0.429,0.066,0,"0","P2RY10"
0,1.94473600587978,0.665,0.306,0,"0","CDC42SE2"
0,2.84048716872933,0.414,0.062,0,"0","PTPN7"
0,2.46265681384287,0.434,0.082,0,"0","BIN2"
0,3.4603505331294,0.383,0.033,0,"0","CXCR3"
0,2.84471476411878,0.42,0.072,0,"0","RHOF"
0,2.32823554586181,0.453,0.106,0,"0","P2RY8"
0,2.47452832548881,0.507,0.161,0,"0","CLEC2B"
0,2.6662347494086,0.415,0.07,0,"0","TRAF3IP3"
0,3.07338598453138,0.393,0.05,0,"0","CTSW"
0,2.10756251808875,0.443,0.101,0,"0","WAS"
0,1.93644283783501,0.77,0.43,0,"0","EML4"
0,3.06430232014327,0.389,0.049,0,"0","RASGRP1"
0,1.97202055946341,0.801,0.462,0,"0","YPEL5"
0,2.99236949200142,0.384,0.046,0,"0","SCML4"
0,2.9187332033341,0.392,0.054,0,"0","ITGAL"
0,3.23753165977857,0.37,0.04,0,"0","PRKCQ"
0,3.17221980726073,0.379,0.05,0,"0","GBP5"
0,1.46168846355698,0.944,0.617,0,"0","HLA-E"
0,1.99685451488207,0.895,0.569,0,"0","ZFP36L2"
0,1.89198515016018,0.689,0.363,0,"0","PPP2R5C"
0,3.19357111871286,0.368,0.043,0,"0","PSTPIP1"
0,1.76077897736567,0.884,0.561,0,"0","SH3BGRL3"
0,2.8334839724013,0.366,0.046,0,"0","CD28"
0,1.87601046038077,0.942,0.63,0,"0","SARAF"
0,2.86193443992901,0.363,0.052,0,"0","IL21R"
0,2.59453586351536,0.378,0.068,0,"0","SP140"
0,2.55935003357169,0.375,0.067,0,"0","TMC8"
0,3.12684330956893,0.351,0.044,0,"0","GZMK"
0,3.65159624429064,0.339,0.034,0,"0","TIGIT"
0,3.07641729369203,0.348,0.044,0,"0","PYHIN1"
0,3.07978077699586,0.343,0.04,0,"0","TRBC1"
0,1.895505700643,0.809,0.51,0,"0","TSC22D3"
0,3.31133114626571,0.321,0.03,0,"0","GPR174"
0,2.97497303984472,0.323,0.033,0,"0","PRF1"
0,3.70880618369912,0.321,0.034,0,"0","CD8A"
0,3.60364124398266,0.32,0.033,0,"0","KLRB1"
0,1.54915252870149,0.897,0.612,0,"0","SRSF7"
0,1.2951640978492,0.961,0.678,0,"0","HLA-B"
