"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","cell_type"
0,9.08917744397107,0.37,0.001,0,"12","CADM3-AS1","ACKR1+ endothelial"
0,8.2380208402356,0.274,0.001,0,"12","PTPN5","ACKR1+ endothelial"
0,7.19389440168979,0.681,0.013,0,"12","TLL1","ACKR1+ endothelial"
0,7.19148083577103,0.87,0.01,0,"12","ACKR1","ACKR1+ endothelial"
0,7.01981143103072,0.548,0.009,0,"12","GPM6A","ACKR1+ endothelial"
0,6.74589160089181,0.826,0.033,0,"12","ZNF385D","ACKR1+ endothelial"
0,6.60825365636868,0.278,0.004,0,"12","RAB3C","ACKR1+ endothelial"
0,6.56533227853397,0.444,0.005,0,"12","MMRN1","ACKR1+ endothelial"
0,6.56245062720575,0.607,0.015,0,"12","SELE","ACKR1+ endothelial"
0,6.53495492958957,0.385,0.006,0,"12","PLCXD3","ACKR1+ endothelial"
0,4.1628908884923,0.273,0.021,0,"0","CXCR6","Activated CD8 T cells"
0,3.70880618369912,0.321,0.034,0,"0","CD8A","Activated CD8 T cells"
0,3.65159624429064,0.339,0.034,0,"0","TIGIT","Activated CD8 T cells"
0,3.60364124398266,0.32,0.033,0,"0","KLRB1","Activated CD8 T cells"
0,3.53244431927606,0.479,0.115,0,"0","DUSP4","Activated CD8 T cells"
0,3.49366862323762,0.267,0.023,0,"0","SIT1","Activated CD8 T cells"
0,3.4603505331294,0.383,0.033,0,"0","CXCR3","Activated CD8 T cells"
0,3.43446368095697,0.29,0.024,0,"0","SH2D1A","Activated CD8 T cells"
0,3.43420395404802,0.667,0.108,0,"0","CCL5","Activated CD8 T cells"
0,3.42249958924074,0.71,0.068,0,"0","CD2","Activated CD8 T cells"
7.80038026189694e-75,6.3485069442081,0.581,0.068,2.8550171796569e-70,"18","IFIT2","Activated fibroblast/stromal"
0,5.98976766687244,0.554,0.01,0,"18","COMP","Activated fibroblast/stromal"
1.54340191209035e-145,5.84736580874607,0.392,0.014,5.64900533844191e-141,"18","IL1A","Activated fibroblast/stromal"
7.17074140085733e-181,5.19622041153899,0.77,0.047,2.62456306012779e-176,"18","COL8A1","Activated fibroblast/stromal"
