"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","cell_type"
"Cellular Processes","Cellular community - eukaryotes","hsa04520","Adherens junction","35/959","92/8292",0.380434782608696,3.28943192637258,7.98521549722107,3.88746776304295e-11,1.30230170061939e-08,8.96163621164639e-09,"54922/1003/4233/57493/5787/5797/7048/83439/87/6615/51176/2260/3643/7082/9411/5819/51701/9475/64750/7525/1500/1495/2241/57154/6934/5595/1499/4301/10163/1387/10580/9855/4088/5879/5908",35,"ACKR1+ endothelial"
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","53/959","200/8292",0.265,2.29132429614181,6.68489056062736,3.05023087446707e-09,5.10913671473234e-07,3.51579242899099e-07,"7450/3691/8515/4233/3680/2324/7148/3912/3655/2321/7424/2012/3791/87/8516/3909/3678/3673/1282/1284/3911/9564/29780/6464/3910/5829/1793/3913/857/7410/10000/5747/858/8503/9475/83660/2013/3915/2317/1398/23396/5595/6654/1499/2932/54776/55742/3685/824/5879/2889/5908/3688",53,"ACKR1+ endothelial"
"Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","42/959","153/8292",0.274509803921569,2.3735508802061,6.20121603533628,4.56332608162347e-08,5.09571412447954e-06,3.50655583114224e-06,"7450/7412/3691/8515/4233/55679/3680/2324/7148/3912/2200/3655/2321/7424/3383/3791/87/8516/3909/3678/3673/1282/1284/3911/29780/3910/10979/5829/3913/10000/5747/8503/83660/3915/2317/3987/1499/2932/55742/3685/5879/3688",42,"ACKR1+ endothelial"
"Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","51/959","210/8292",0.242857142857143,2.09986593177417,5.83797045822759,1.34587630635025e-07,9.28872427185496e-06,6.39192652171637e-06,"7010/196883/11069/10411/4233/5332/64411/2324/5600/2321/7424/9771/3791/2776/9732/23236/9223/22808/3397/9564/6300/2260/3643/7074/7410/9863/25780/23683/10000/91860/5899/8503/83660/25865/1500/1398/5595/5335/1499/5900/2149/260425/4301/2771/9693/9855/5879/1435/2889/5908/3688",51,"ACKR1+ endothelial"
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","31/959","100/8292",0.31,2.68041710114703,6.11355803755071,1.38637675699328e-07,9.28872427185496e-06,6.39192652171637e-06,"6401/7412/7056/4846/5332/5600/7424/7048/3383/5054/23236/1282/1284/2308/6300/6347/1906/10000/5336/8503/3717/5581/5595/4772/5335/6776/6774/4313/6777/4088/5879",31,"ACKR1+ endothelial"
"Organismal Systems","Immune system","hsa04660","T cell receptor signaling pathway","29/506","120/8292",0.241666666666667,3.9602766798419,8.32684085316919,8.30695563327861e-11,2.4837797343503e-08,1.90622771374183e-08,"925/7535/29851/5588/915/3932/916/917/10125/919/3702/27040/940/5788/5293/9402/2534/84433/5527/4773/3937/5295/5533/8440/868/5777/5525/5062/3845",29,"Activated CD8 T cells"
"Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","33/506","165/8292",0.2,3.27747035573123,7.53270728287184,8.7395169194759e-10,1.30655777946165e-07,1.00274457286618e-07,"3718/5293/7185/3105/3134/894/1027/3107/841/5966/3133/5295/896/6777/5922/3106/4791/6672/2959/3716/7187/5366/3665/5934/3516/1021/5567/1385/10379/3845/1654/7529/7534",33,"Activated CD8 T cells"
"Organismal Systems","Immune system","hsa04650","Natural killer cell mediated cytotoxicity","27/506","123/8292",0.219512195121951,3.59722356116842,7.39773820117619,3.71536453073245e-09,3.70297998229667e-07,2.84192795684096e-07,"4068/7535/3932/22914/5551/3683/919/27040/10870/5880/5293/962/2534/3689/3105/5579/4773/3937/3107/3133/5295/5533/3106/3384/5777/2185/3845",27,"Activated CD8 T cells"
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","35/506","199/8292",0.175879396984925,2.88219754900987,6.85107130871459,9.55942510025387e-09,7.14567026243977e-07,5.48409124172459e-07,"915/916/917/3683/919/3718/864/7128/5293/3105/3134/6890/894/1027/3107/841/6891/3133/965/567/5295/896/960/3106/4791/5971/3716/7187/3665/596/3516/1021/6892/6772/10379",35,"Activated CD8 T cells"
"Environmental Information Processing","Signaling molecules and interaction","hsa04517","IgSF CAM signaling","44/506","296/8292",0.148648648648649,2.43595769682726,6.41316811874187,2.48753953159966e-08,1.48754863989659e-06,1.141649721871e-06,"201633/4068/914/9046/7277/5588/10225/3932/3683/940/3676/5293/962/2534/3385/3689/5579/3937/1445/3635/5295/3384/2308/8573/7430/4155/4478/8440/10109/5777/10095/5906/51735/382/10627/10093/5062/6709/8826/10097/10096/81873/5908/7846",44,"Activated CD8 T cells"
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","11/71","100/8292",0.11,12.8467605633803,11.0757959717494,6.30928268257205e-10,1.09781518676754e-07,6.90700419986835e-08,"3552/4313/3553/1281/1278/4790/1277/3576/6347/2335/1958",11,"Activated fibroblast/stromal"
"Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","10/71","106/8292",0.0943396226415094,11.0178049428647,9.64628172485549,1.82927835664009e-08,1.59147217027688e-06,1.00128920573984e-06,"6696/3553/6349/6348/4790/3576/6351/9560/4792/2353",10,"Activated fibroblast/stromal"
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","12/71","214/8292",0.0560747663551402,6.54890088192708,7.64244351084311,2.14966766600028e-07,9.95635422257148e-06,6.26413090833293e-06,"3553/6349/6348/19/4973/6648/4790/3576/6347/2920/4792/2353",12,"Activated fibroblast/stromal"
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","8/71","76/8292",0.105263157894737,12.2935507783543,9.19130965163978,2.28881706266011e-07,9.95635422257148e-06,6.26413090833293e-06,"3552/3553/716/3394/710/4790/3576/2353",8,"Activated fibroblast/stromal"
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","8/71","90/8292",0.0888888888888889,10.381220657277,8.31555099623461,8.55565619587786e-07,2.97736835616549e-05,1.87323840920273e-05,"3552/3553/6349/6348/3576/6347/2920/2353",8,"Activated fibroblast/stromal"
"Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","15/96","71/8292",0.211267605633803,18.2482394366197,15.7960944486151,1.56831120990266e-15,3.00623205040758e-13,1.97002822704728e-13,"3117/3122/1508/3108/5641/3113/10437/3119/972/3123/3115/3127/3310/3304/3303",15,"Activated macrophage/myeloid"
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","16/96","90/8292",0.177777777777778,15.3555555555556,14.819019710854,3.06581532291795e-15,3.00623205040758e-13,1.97002822704728e-13,"6348/54/3576/3117/2920/3122/3108/3113/3119/3123/3115/6349/3127/3553/2353/3725",16,"Activated macrophage/myeloid"
"Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","16/96","92/8292",0.173913043478261,15.0217391304348,14.6361539738819,4.4209294858935e-15,3.00623205040758e-13,1.97002822704728e-13,"629/2213/728/2212/3117/714/713/3122/712/3108/3113/3119/3123/718/3115/3127",16,"Activated macrophage/myeloid"
"Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","13/96","53/8292",0.245283018867925,21.186320754717,15.9549685471472,1.67533813479871e-14,8.54422448747344e-13,5.59915639787991e-13,"2212/3117/714/713/3122/712/3108/3113/3119/3123/718/3115/3127",13,"Activated macrophage/myeloid"
"Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","13/96","74/8292",0.175675675675676,15.1739864864865,13.2544864348755,1.71119400951858e-12,6.98167155883581e-11,4.57519240439705e-11,"2212/3117/3122/3108/3113/3119/3123/718/3115/3127/3553/2353/3725",13,"Activated macrophage/myeloid"
"Genetic Information Processing","Translation","hsa03010","Ribosome","66/248","173/8292",0.38150289017341,12.7557337311206,27.4356206055331,1.22553324483965e-57,2.89225845782157e-55,2.5155682394077e-55,"6228/3921/6224/6181/6144/6232/6202/2197/6205/6227/6135/6189/6161/6231/6193/6137/6164/6208/6133/6142/6233/6217/6206/6167/6141/6207/6170/23521/6230/6235/6143/6222/6210/6176/6188/6146/6156/6139/6125/6194/6157/6134/6187/6234/6132/6155/6158/6203/6165/6124/6201/6169/6122/6223/4736/6154/7311/6136/6159/9045/6147/6138/11224/10399/6128/6209",66,"B cells"
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease","69/248","228/8292",0.302631578947368,10.1186332767402,24.5140564054688,2.27659308449739e-52,2.68637983970692e-50,2.33650342882627e-50,"6850/5336/1536/5579/6228/3921/6224/6181/6144/6232/6202/2197/6205/6227/6135/6189/6161/6231/6193/6137/6164/6208/6133/6142/6233/6217/6206/6167/6141/6207/6170/23521/6230/6235/6143/6222/6210/6176/6188/6146/6156/6139/6125/6194/6157/6134/6187/6234/6132/6155/6158/6203/6165/6124/6201/6169/6122/6223/4736/6154/7311/6136/6159/9045/6147/6138/11224/6128/6209",69,"B cells"
"Organismal Systems","Immune system","hsa04662","B cell receptor signaling pathway","19/248","81/8292",0.234567901234568,7.84289127837515,10.8661923938496,1.59788306047679e-12,1.25700134090841e-10,1.09328840979991e-10,"930/973/640/55024/974/27071/695/6850/5336/4067/29760/2213/84433/118788/5579/5777/3635/2885/5880",19,"B cells"
"Organismal Systems","Immune system","hsa04672","Intestinal immune network for IgA production","14/248","46/8292",0.304347826086957,10.1760168302945,10.9573294367141,3.25094783827769e-11,1.67788571197424e-09,1.45935643994191e-09,"115650/23495/3112/3119/3122/958/3117/3123/3115/3127/3113/3108/3109/7852",14,"B cells"
"Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","17/248","74/8292",0.22972972972973,7.68112467306016,10.136210812376,3.55484261011491e-11,1.67788571197424e-09,1.45935643994191e-09,"3112/3119/653361/3122/3117/1536/4689/3123/3115/5579/5777/3127/3113/3108/3109/1535/1915",17,"B cells"
"Cellular Processes","Cellular community - eukaryotes","hsa04530","Tight junction","42/614","168/8292",0.25,3.37622149837134,8.79873410188945,9.24034202192538e-13,3.08627423532308e-10,2.75264925495251e-10,"1080/9076/1364/79784/100506658/27134/84612/1365/50848/1366/153562/2064/92359/51421/10207/57530/9414/91862/56288/79778/4301/23327/8531/9223/9475/3993/71/1740/7082/7430/5516/595/3725/5584/5872/103910/81/4214/5520/8777/2017/1739",42,"Basal epithelial"
"Environmental Information Processing","Signal transduction","hsa04390","Hippo signaling pathway","33/614","155/8292",0.212903225806452,2.8752337921614,6.66427179278491,2.14606273159612e-08,3.58392476176551e-06,3.19650396337737e-06,"650/81029/84612/3397/166824/7042/10207/999/1490/23286/7005/10413/56288/8323/25937/657/60485/7003/27113/3993/71/1495/9231/1740/5516/4088/595/5584/4087/5520/6788/26524/1739",33,"Basal epithelial"
"Environmental Information Processing","Signaling molecules and interaction","hsa04519","Cadherin signaling","58/614","402/8292",0.144278606965174,1.94846613836356,5.51264396923503,4.76722573323144e-07,5.307511316331e-05,4.73377151755964e-05,"3872/25984/3866/3855/2568/2564/3880/5099/4233/84152/1001/81029/1956/3856/2064/1829/3728/51421/3875/147798/1832/999/55740/51474/23286/7005/10413/7414/79838/2195/8323/25937/4301/60485/11187/1500/7003/5603/22800/10787/9475/102/71/1495/7082/4430/51107/4643/473/81/1452/3480/6788/5747/1822/8777/3858/26524",58,"Basal epithelial"
"Cellular Processes","Cellular community - eukaryotes","hsa04520","Adherens junction","21/614","92/8292",0.228260869565217,3.08263702025209,5.68020697416922,2.49036209022678e-06,0.000207945234533936,0.000185466439877415,"81607/4233/1956/4008/2064/999/5792/56288/7414/5819/57154/4301/1500/9475/71/1495/7082/4088/103910/81/3480",21,"Basal epithelial"
"Organismal Systems","Development and regeneration","hsa04382","Cornified envelope formation","35/614","213/8292",0.164319248826291,2.21911272193421,5.09704479342813,5.61745273144561e-06,0.000375245842460567,0.000334681920631391,"3872/25984/3866/57402/3855/3914/3880/9076/1364/5493/100506658/140576/3918/1365/1366/3691/3856/1829/3728/6768/3875/1832/1287/6284/6282/667/6277/5652/11187/823/7082/5516/2531/5520/3858",35,"Basal epithelial"
"Human Diseases","Neurodegenerative disease","hsa05016","Huntington disease","24/231","303/8292",0.0792079207920792,2.84325575414684,5.53319134494696,3.43096976997588e-06,0.000609082052307433,0.000538829587147673,"27019/8701/56171/2893/1768/10126/7802/10383/1345/4715/1767/5437/90993/148327/1537/7052/1337/4541/516/1351/10376/4538/4540/4535",24,"Ciliated epithelial"
"Genetic Information Processing","Folding, sorting and degradation","hsa04141","Protein processing in endoplasmic reticulum","17/231","169/8292",0.100591715976331,3.61085068777376,5.80473166256549,4.3197308674286e-06,0.000609082052307433,0.000538829587147673,"91319/3310/23640/6400/7494/54431/81567/23645/3304/9709/6748/3326/3337/3301/811/3303/7184",17,"Ciliated epithelial"
"Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease","20/231","264/8292",0.0757575757575758,2.7194018103109,4.80607615460138,4.42644254935736e-05,0.00416085599639592,0.00368093643578138,"4129/10383/2770/1345/55630/4715/7494/64116/4128/1537/1337/4541/516/7295/801/1351/10376/4538/4540/4535",20,"Ciliated epithelial"
"Metabolism","Energy metabolism","hsa00190","Oxidative phosphorylation","13/231","132/8292",0.0984848484848485,3.53522235340417,4.97018928333953,7.42131326682153e-05,0.00523202585310918,0.00462855590588606,"155066/1345/528/4715/1537/9550/1337/4541/516/1351/4538/4540/4535",13,"Ciliated epithelial"
"Organismal Systems","Endocrine system","hsa04915","Estrogen signaling pathway","13/231","137/8292",0.0948905109489051,3.40619963977628,4.80723048705589,0.000108875683040643,0.00614058852349228,0.00543232355381736,"3310/2770/108/90993/148327/3304/3326/2288/2353/801/3875/3303/7184",13,"Ciliated epithelial"
"Human Diseases","Cancer: overview","hsa05208","Chemical carcinogenesis - reactive oxygen species","16/49","219/8292",0.0730593607305936,12.3634330444507,13.1393229180623,5.02290447068897e-14,7.03206625896456e-12,6.29184875802092e-12,"2938/196/6648/4541/4540/4512/4509/4535/2353/4508/4539/4537/4519/4513/4514/4538",16,"Ciliated/secretory epithelial"
